time;SrLT1;SrLT2;SrLT3;SrLT4
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
1.36494;0;0;0;0
1.64912;0;0;0;0
4.18952;0;0;0;0
4.95799;0;0;0;0
5;0;0;0;0
5;0;0;0;0
5;0;0;0;0
5;0;0;0;0
5;0;0;0;0
6.38832;0;0;0;0
7.16254;0;0;0;0
9.97312;0;0;0;0
10;0;0;0;0
10;0;0;0;0
10;0;0;0;0
10;0;0;0;0
10.6755;0;0;0;0
13.1196;0;0;0;0
13.393;0;0;0;0
14.8822;0;0;0;0
15;0;0;0;0
15;0;0;0;0
15;0;0;0;0
16.6808;0;0;0;0
17.3445;0;0;0;0
17.6528;0;0;0;0
17.7621;0;0;0;0
17.8941;0;0;0;0
18.0523;0;0;0;0
18.1999;0;0;0;0
20;0;0;0;0
20;0;0;0;0
20.0071;2.99893;0;0;0
22.3275;2.68727;0;0;0
22.8283;2.62831;0;0;0
23.972;2.50292;0;0;0
24.1511;2.48436;0;0;0
25;2.4;0;0;0
26.4594;2.26763;0;0;0
26.966;2.22502;0;0;0
29.6633;2.0227;0;0;0
30.0749;1.99502;0;0;0
31.0286;1.9337;0;0;0
31.258;1.91951;0;0;0
31.329;1.91516;0;0;0
33.2693;3.60693;0;0;0
35.8643;3.34595;1.67297;0;0
36.8355;3.25773;1.62886;0;0
37.2926;3.2178;1.6089;0;0
39.465;3.04067;1.52034;0;0
39.5984;3.03043;1.51521;0;0
41.8642;2.86641;1.43321;0;0
42.8693;2.79921;1.3996;0;0
43.4562;2.7614;1.3807;0;0
43.4799;2.7599;1.37995;0;0
46.1245;2.60165;1.30083;0;0
49.3415;2.43203;1.21601;0;0
50.1231;2.39411;1.19705;0;0
50.496;2.37643;1.18821;0;0
50.5453;2.37411;1.18705;0;0
53.3963;2.24735;1.12367;0;0
53.4139;2.24661;1.1233;0;0
54.6447;2.196;1.098;0;0
54.9006;2.18577;1.09288;0;0
55.6703;2.15555;1.07777;0;0
56.1012;2.13899;1.0695;0;0
56.387;2.12815;1.06407;0;0
56.495;2.12408;1.06204;0;0
58.803;2.04071;1.02036;0;0
59.2799;2.0243;1.01215;0;0
59.5005;2.01679;1.0084;0;0
59.7457;2.00851;1.00426;0;0
60.443;1.98534;0.992671;0;0
60.9839;1.96773;0.983867;0;0
63.4153;1.89229;0.946144;0;0
64.863;1.85005;0.925026;0;0
65.2104;1.8402;0.920098;0;0
68.6054;1.74913;0.874566;0;1.74913
69.3967;1.72919;0.864594;0;1.72919
70.586;1.70005;0.850026;0;1.70005
71.4796;1.6788;0.839401;0;1.6788
72.4072;1.65729;0.828647;0;1.65729
73.8296;1.62536;0.812682;0;1.62536
74.0544;1.62043;0.810215;0;1.62043
74.2062;1.61712;0.808558;0;1.61712
76.082;1.57724;0.788622;0;1.57724
76.333;1.57206;0.786029;0;1.57206
76.391;1.57087;0.785433;0;1.57087
77.8998;1.54044;0.77022;0;1.54044
78.5009;1.52865;0.764323;0;1.52865
79.2366;1.51445;0.757226;0;1.51445
80.1033;1.49807;0.749033;0;1.49807
80.3088;1.49423;0.747116;0;1.49423
81.104;1.47958;0.739791;0;1.47958
81.6586;1.46953;0.734767;0;1.46953
82.6217;1.4524;0.726201;0;1.4524
82.8737;1.44799;0.723994;0;1.44799
83.1679;1.44287;0.721433;0;1.44287
83.4481;1.43802;0.71901;0;1.43802
84.0455;1.4278;0.713899;0;1.4278
85.4909;1.40366;0.701829;0;1.40366
86.8426;1.38181;0.690906;0;1.38181
87.8737;1.3656;0.682798;0;1.3656
87.8737;1.3656;0.682798;0;1.3656
91.5667;1.31052;0.65526;0;1.31052
92.5374;1.29677;0.648387;0;1.29677
92.8737;1.29208;0.646039;0;1.29208
93.2727;1.28655;0.643275;0;1.28655
94.7091;1.26704;0.633519;0;1.26704
94.9466;1.26387;0.631934;0;1.26387
95.5382;1.25604;0.628021;0;1.25604
97.8737;1.22607;0.613035;0;1.22607
97.8737;1.22607;0.613035;0;1.22607
98.0906;1.83504;0.611679;0;1.22336
98.7647;1.82251;0.607504;0;1.21501
100.343;1.79385;0.597949;0;1.1959
100.909;1.78379;0.594595;0;1.18919
102.463;1.75673;0.585577;0;1.17115
102.874;1.74972;0.58324;0;1.16648
103.616;1.73718;0.579061;0;1.15812
103.706;1.73567;0.578558;0;1.15712
105.38;1.7081;0.569368;0;1.13874
106.16;1.69555;0.565184;0;1.13037
106.731;1.68648;0.56216;0;1.12432
107.125;1.68027;0.560092;0;1.12018
107.619;1.67257;0.557523;0;1.11505
107.824;1.66939;0.556463;0;1.11293
110.92;1.6228;0.540932;0;1.08186
111.193;1.61881;0.539604;0;1.07921
111.818;1.60976;0.536587;0;1.07317
112.361;1.60199;0.533995;0;1.06799
112.802;1.59572;0.531907;0;1.06381
113.477;2.11497;0.528743;0;1.05749
113.734;2.11018;0.527546;0;1.05509
113.848;2.10807;1.05403;0;1.05403
114.366;2.09853;1.04926;0;1.04926
114.649;2.09335;1.04668;0;1.04668
114.858;2.08954;1.04477;0;1.04477
116.237;2.06475;1.03238;0;1.03238
116.262;2.0643;1.03215;0;1.03215
117.57;2.04134;1.02067;0;1.02067
118.046;2.03311;1.01655;0;1.01655
118.16;2.03115;1.01557;0;1.01557
118.314;2.02851;1.01425;0;1.01425
119.887;2.00188;1.00094;0;1.00094
120.558;1.99074;0.995369;0;0.995369
121.415;1.97669;0.988343;0;0.988343
121.832;1.96992;0.984962;0;0.984962
123.465;1.94387;0.971936;0;0.971936
123.944;1.93637;0.968183;0;0.968183
124.587;1.92636;0.963179;0;0.963179
124.931;1.92105;0.960527;0;0.960527
126.665;1.89476;0.947378;0;0.947378
126.838;1.89217;0.946086;0;0.946086
127.279;1.88562;0.942809;0;0.942809
127.743;1.87877;0.939385;0;0.939385
129.158;1.85819;0.929095;0.464547;0.929095
129.423;1.85439;0.927194;0.463597;0.927194
129.589;1.852;0.926002;0.463001;0.926002
130.719;1.836;0.918001;0.459;0.918001
131.869;1.81999;0.909993;0.454997;0.909993
