time;SrCl;SrCh1;SrCh2;SrCh3;SrCh4;0
1500.5;-1.#IND;-1.#IND;-1.#IND;-1.#IND;0;0
1501.13;-1.#IND;0;-1.#IND;-1.#IND;0;0
1504.32;0;0;-1.#IND;-1.#IND;0;0
1505.74;0;0;-1.#IND;-1.#IND;0;0
1506.28;0;0;-1.#IND;-1.#IND;0;0
1506.44;0;0;-1.#IND;0;0;0
1506.73;0;0;-1.#IND;0;0;0
1508.08;0;0;-1.#IND;0;0;0
1509.29;0;0;0;0;0;0
1509.7;0;0;0;0;0;0
1509.9;0;0;0;0;0;0
1509.94;0;0;0;0;6.5497;0
1511.1;0;0;32.4142;0;6.5497;0
1511.35;0;0;32.4142;0;6.5497;0
1512.16;0;0;32.4142;0;6.5497;0
1512.18;0;0;32.4142;0;6.5497;0
1512.87;0;0;32.4142;0;4.36646;0
1513.66;0;0;32.4142;0;4.36646;0
1513.8;173.819;0;32.4142;0;4.36646;0
1513.86;148.326;0;32.4142;0;4.36646;0
1513.96;148.326;10.0337;32.4142;0;4.36646;0
1514.67;148.326;10.0337;32.4142;0;4.36646;0
1515.23;148.326;10.0337;32.4142;0;5.1553;0
1516.8;130.876;10.0337;32.4142;0;5.1553;0
1518.01;117.099;10.0337;32.4142;0;5.1553;0
1518.55;117.099;6.68914;32.4142;0;5.1553;0
1519.64;117.099;5.01686;32.4142;0;5.1553;0
1520.78;117.099;5.01686;21.6095;0;5.1553;0
1521.01;117.099;5.01686;21.6095;0;5.1553;0
1522.23;117.099;5.01686;16.2071;0;5.1553;0
1522.77;234.445;5.01686;16.2071;0;5.1553;0
1524.09;234.445;5.01686;16.2071;5.37968;5.1553;0
1526.43;212.117;5.01686;16.2071;5.37968;5.1553;0
1526.47;192.003;5.01686;16.2071;5.37968;5.1553;0
1528.75;192.003;5.01686;19.8293;5.37968;5.1553;0
1528.97;192.003;5.01686;19.8293;4.48307;5.1553;0
1529.19;192.003;5.01686;19.8293;4.48307;3.86648;0
1529.9;192.003;10.4198;19.8293;4.48307;3.86648;0
1531.42;288.273;10.4198;19.8293;4.48307;3.86648;0
1532.76;288.273;10.4198;15.8635;4.48307;3.86648;0
1534.9;288.273;10.4198;15.8635;4.48307;3.09318;0
1536.49;288.273;10.4198;15.8635;3.84263;3.09318;0
1537.12;288.273;10.4198;15.8635;3.84263;5.12262;0
1537.39;288.273;10.4198;15.8635;3.84263;5.12262;0
1538.48;288.273;10.4198;15.8635;3.3623;5.12262;0
1538.98;288.273;10.4198;15.8635;3.3623;4.26885;0
1540.02;263.304;10.4198;15.8635;3.3623;4.26885;0
1541.72;263.304;10.4198;13.2195;3.3623;4.26885;0
1542.13;263.304;10.4198;13.2195;3.3623;3.65902;0
1543.39;263.304;8.33582;13.2195;3.3623;3.65902;0
1543.89;263.304;8.33582;13.2195;3.3623;3.20164;0
1544.17;263.304;8.33582;13.2195;2.98871;3.20164;0
1544.7;263.304;8.33582;13.2195;14.719;3.20164;0
1545.31;263.304;8.72116;13.2195;14.719;3.20164;0
1546.34;263.304;8.72116;16.2534;14.719;3.20164;0
1546.74;263.304;8.72116;13.9315;14.719;3.20164;0
1547.74;263.304;8.72116;13.9315;13.2471;3.20164;0
1547.96;263.304;8.72116;13.9315;13.2471;2.8459;0
1548.57;263.304;8.72116;13.9315;12.0428;2.8459;0
1549.4;352.991;8.72116;13.9315;12.0428;2.8459;0
1550.79;352.991;8.72116;14.51;12.0428;2.8459;0
1554.2;352.991;8.72116;14.51;12.0428;2.56131;0
1555.09;352.991;7.26763;14.51;12.0428;2.56131;0
1556.92;352.991;7.26763;14.51;12.0428;2.56131;0
1557.79;352.991;7.26763;14.51;12.0428;2.32846;0
1557.89;352.991;7.26763;14.51;11.0393;2.32846;0
1558.64;352.991;7.26763;14.51;12.8504;2.32846;0
1558.72;352.991;7.26763;14.51;11.8619;2.32846;0
1559.29;324.854;7.26763;14.51;11.8619;2.32846;0
1559.46;324.854;7.26763;12.6962;11.8619;2.32846;0
1559.85;324.854;7.26763;12.6962;11.8619;8.88323;0
1559.91;302.904;7.26763;12.6962;11.8619;8.88323;0
1561.92;278.446;7.26763;12.6962;11.8619;8.88323;0
1564.19;278.446;7.26763;12.6962;12.2822;8.88323;0
1564.31;278.446;7.26763;12.6962;11.4049;8.88323;0
1564.88;278.446;6.2294;12.6962;11.4049;8.88323;0
1565.47;278.446;7.79859;12.6962;11.4049;8.88323;0
1565.88;278.446;7.79859;12.6962;10.6446;8.88323;0
1566.76;278.446;6.82377;12.6962;10.6446;8.88323;0
1570.72;278.446;6.82377;12.6962;9.9793;8.88323;0
1570.78;260.638;6.82377;12.6962;9.9793;8.88323;0
1571.35;260.638;6.82377;12.6962;9.39228;8.88323;0
1571.56;260.638;6.82377;11.2855;9.39228;8.88323;0
1572.08;328.474;6.82377;11.2855;9.39228;8.88323;0
1572.17;328.474;6.82377;11.2855;8.87049;8.88323;0
1572.62;328.474;6.82377;11.2855;9.90779;8.88323;0
1575.04;328.474;6.82377;11.2855;9.90779;10.4515;0
1579.86;328.474;6.82377;11.2855;9.38632;10.4515;0
1580.5;328.474;6.82377;11.2855;9.38632;10.4515;0
1580.88;328.474;6.82377;10.157;9.38632;10.4515;0
1581.93;328.474;6.82377;10.157;8.91701;10.4515;0
1582.06;312.141;6.82377;10.157;8.91701;10.4515;0
1582.22;312.141;6.82377;10.157;8.91701;9.58056;0
1582.58;312.141;6.82377;13.7429;8.91701;9.58056;0
1582.93;312.141;6.82377;13.7429;8.91701;8.84359;0
1583.84;312.141;6.82377;13.7429;8.49239;8.84359;0
1584;312.141;6.82377;13.7429;8.49239;8.21191;0
1584;312.141;6.82377;13.7429;8.49239;7.66445;0
1584.08;295.798;6.82377;13.7429;8.49239;7.66445;0
1584.49;295.798;6.82377;13.7429;8.49239;7.98646;0
1584.93;295.798;6.82377;13.7429;8.10637;7.98646;0
1585.03;295.798;6.06557;13.7429;8.10637;7.98646;0
1585.62;295.798;8.2267;13.7429;8.10637;7.98646;0
1586.4;295.798;8.2267;13.7429;8.10637;7.48731;0
1587.01;295.798;7.40403;13.7429;8.10637;7.48731;0
1587.5;295.798;7.40403;13.7429;7.75392;7.48731;0
1591.31;357.283;7.40403;13.7429;7.75392;7.48731;0
1592.14;357.283;7.40403;13.7429;7.75392;7.04688;0
1593.53;357.283;7.40403;13.7429;7.75392;6.65538;0
1593.95;357.283;7.40403;13.7429;7.75392;6.65538;0
1594.34;357.283;6.73094;13.7429;7.75392;6.65538;0
1594.93;357.283;6.73094;13.7429;7.75392;6.3051;0
1595.57;357.283;6.73094;13.7429;7.75392;5.98984;0
1596.31;418.532;6.73094;13.7429;7.75392;5.98984;0
1597.91;418.532;6.73094;12.4935;7.75392;5.98984;0
1598.34;418.532;6.73094;12.4935;7.43084;5.98984;0
1598.9;418.532;6.73094;12.4935;10.6384;5.98984;0
1599.3;418.532;6.73094;11.4524;10.6384;5.98984;0
1599.4;418.532;6.73094;11.4524;10.6384;5.98984;0
1599.58;418.532;6.73094;11.6139;10.6384;5.98984;0
1601.04;418.532;6.73094;11.6139;10.2128;5.98984;0
1601.31;479.697;6.73094;11.6139;10.2128;5.98984;0
1605.45;479.697;6.73094;11.6139;9.82002;5.98984;0
1605.93;479.697;6.73094;11.6139;9.45631;5.98984;0
1607.42;479.697;6.73094;11.6139;9.11859;5.98984;0
1607.88;479.697;9.86034;11.6139;9.11859;5.98984;0
1610.82;479.697;9.86034;11.6139;9.11859;5.98984;0
1613.67;479.697;9.86034;11.6139;9.11859;10.2723;0
1614.41;479.697;9.86034;11.6139;9.11859;9.78319;0
1615.64;479.697;9.03864;11.6139;9.11859;9.78319;0
1615.67;479.697;9.03864;11.6139;10.6483;9.78319;0
1615.68;458.111;9.03864;11.6139;10.6483;9.78319;0
1616.62;458.111;9.03864;11.6139;10.6483;9.3385;0
1616.96;436.296;9.03864;11.6139;10.6483;9.3385;0
1618.25;436.296;9.25617;11.6139;10.6483;9.3385;0
1618.31;436.296;9.25617;11.6139;10.2811;9.3385;0
1618.41;436.296;9.25617;11.6139;9.93837;9.3385;0
1618.66;436.296;9.25617;11.6139;9.93837;8.93248;0
1620.47;436.296;9.25617;11.6139;9.93837;8.56029;0
1620.51;436.296;9.25617;10.7205;9.93837;8.56029;0
1620.79;436.296;9.25617;9.9548;9.93837;8.56029;0
1621.16;436.296;9.25617;9.29114;9.93837;8.56029;0
1622.35;416.464;9.25617;9.29114;9.93837;8.56029;0
1623.14;416.464;9.25617;9.75626;9.93837;8.56029;0
1625.19;416.464;9.25617;9.75626;9.61778;8.56029;0
1625.79;416.464;9.25617;9.75626;9.61778;8.56029;0
1627.77;470.959;9.25617;9.75626;9.61778;8.56029;0
1629.07;470.959;9.25617;9.75626;9.31723;8.56029;0
1630.14;470.959;9.25617;9.75626;9.31723;12.1858;0
1630.17;470.959;9.25617;9.75626;9.31723;11.6984;0
1630.96;470.959;9.25617;9.75626;9.31723;11.6984;0
1635.87;470.959;9.25617;9.75626;9.31723;11.2484;0
1636.82;470.959;9.25617;9.75626;11.076;11.2484;0
1636.9;470.959;9.25617;9.75626;10.7403;11.2484;0
1639.61;470.959;9.25617;9.75626;10.8226;11.2484;0
1640.42;450.483;9.25617;9.75626;10.8226;11.2484;0
1640.69;450.483;8.54415;9.75626;10.8226;11.2484;0
1644.8;450.483;8.86032;9.75626;10.8226;11.2484;0
1645.29;503.641;8.86032;9.75626;10.8226;11.2484;0
1645.86;503.641;8.86032;9.75626;10.8226;11.2484;0
1646.52;503.641;8.86032;9.75626;10.5043;11.2484;0
1650;503.641;8.86032;9.75626;10.2042;11.2484;0
1650.34;503.641;8.86032;9.75626;10.2042;12.5812;0
1652.68;503.641;8.86032;9.75626;9.9207;12.5812;0
